p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	nsnps
data/formated/ldsc/Okbay2022educ_dropNA.sumstats.gz	data/formated/ldsc/Belloy2024FinnGensexhet_dropNA.sumstats.gz	-0.1308	0.027	-4.8406	1.2943e-06	0.0144	0.0019	1.069	0.01	0.0091	0.0076	1138945
data/formated/ldsc/Okbay2022educ_dropNA.sumstats.gz	data/formated/ldsc/Belloy2024FinnGenfemales_dropNA.sumstats.gz	-0.1872	0.0401	-4.6697	3.0159e-06	0.013	0.0024	1.0405	0.0084	0.0116	0.0074	1138943
data/formated/ldsc/Okbay2022educ_dropNA.sumstats.gz	data/formated/ldsc/Belloy2024FinnGenmales_dropNA.sumstats.gz	-0.068	0.032	-2.1221	0.0338	0.018	0.0029	1.0482	0.0079	0.0011	0.0071	1138960
data/formated/ldsc/NealeEdu2018_dropNA.sumstats.gz	data/formated/ldsc/Belloy2024FinnGensexhet_dropNA.sumstats.gz	-0.1042	0.0298	-3.4978	0.0005	0.0142	0.0019	1.0707	0.0101	0.0051	0.0063	1143274
data/formated/ldsc/NealeEdu2018_dropNA.sumstats.gz	data/formated/ldsc/Belloy2024FinnGenfemales_dropNA.sumstats.gz	-0.171	0.0433	-3.9542	7.6800e-05	0.0132	0.0024	1.0392	0.0084	0.0103	0.0065	1143275
data/formated/ldsc/NealeEdu2018_dropNA.sumstats.gz	data/formated/ldsc/Belloy2024FinnGenmales_dropNA.sumstats.gz	-0.0316	0.0353	-0.8949	0.3709	0.0176	0.0029	1.0503	0.0076	-0.003	0.0062	1143295
data/formated/ldsc/Okbay2022educ_dropNA.sumstats.gz	data/formated/ldsc/Bellenguez2022stage1load_dropNA.sumstats.gz	0.0498	0.0245	2.0349	0.0419	0.0191	0.0031	1.0872	0.0281	0.0161	0.0073	1147876
data/formated/ldsc/NealeEdu2018_dropNA.sumstats.gz	data/formated/ldsc/Bellenguez2022stage1load_dropNA.sumstats.gz	0.056	0.0275	2.0333	0.042	0.0191	0.0031	1.0882	0.0255	0.0191	0.006	1152663
data/formated/ldsc/NealeEduFemale2018_dropNA.sumstats.gz	data/formated/ldsc/Belloy2024FinnGenfemales_dropNA.sumstats.gz	-0.1692	0.049	-3.4554	0.0005	0.0132	0.0024	1.0392	0.0084	0.0112	0.0058	1143293
data/formated/ldsc/NealeEduMale2018_dropNA.sumstats.gz	data/formated/ldsc/Belloy2024FinnGenmales_dropNA.sumstats.gz	-0.0113	0.0473	-0.2397	0.8106	0.0177	0.0029	1.0501	0.0076	-0.0043	0.006	1143265
data/formated/ldsc/Okbay2022educ_dropNA.sumstats.gz	data/formated/ldsc/Belloy2024UKBBsexhet_dropNA.sumstats.gz	-0.1308	0.027	-4.8406	1.2943e-06	0.006	0.0008	1.069	0.01	0.0091	0.0076	1138945
data/formated/ldsc/NealeEdu2018_dropNA.sumstats.gz	data/formated/ldsc/Belloy2024UKBBsexhet_dropNA.sumstats.gz	-0.1042	0.0298	-3.4978	0.0005	0.0059	0.0008	1.0707	0.0101	0.0051	0.0063	1143274
data/formated/ldsc/NealeEduFemale2018_dropNA.sumstats.gz	data/formated/ldsc/Belloy2024UKBBsexhet_dropNA.sumstats.gz	-0.113	0.0329	-3.4372	0.0006	0.0059	0.0008	1.0706	0.0101	0.008	0.0056	1143292
data/formated/ldsc/NealeEduMale2018_dropNA.sumstats.gz	data/formated/ldsc/Belloy2024UKBBsexhet_dropNA.sumstats.gz	-0.0894	0.0389	-2.3015	0.0214	0.0059	0.0008	1.0707	0.0101	-0.0011	0.0063	1143249
